Informe de campaña
Todo el período
Estado de la campaña,Campaña,Presupuesto,Nombre del presupuesto,Tipo de presupuesto,Código de moneda,Estado,Motivos del estado,Nivel de optimización,Tipo de campaña,Impr.,CTR,Costo,Tipo de estrategia de oferta,Clics,Porcentaje de conv.,Conversiones,Prom. CPC,Costo/conv.
Habilitada,Organnical — Ansiedad — Búsqueda,7.15, --,Diariamente,PEN,Apta (limitada),limitado por el presupuesto,68.86,Búsqueda,"12,251",4.24%,139.74,Maximizar clics,519,0.00%,0.00,0.27,0.00
Habilitada,Organnical — Dolor Crónico — Búsqueda,12.00, --,Diariamente,PEN,No apta,limitado por el presupuesto; se rechazaron la mayoría de los anuncios,76.97,Búsqueda,"9,447",3.61%,170.34,Maximizar clics,341,0.00%,0.00,0.50,0.00
Habilitada,Organnical — Insomnio — Búsqueda,12.00, --,Diariamente,PEN,Apta (limitada),limitado por el presupuesto,77.34,Búsqueda,"11,658",5.23%,169.08,Maximizar clics,610,0.00%,0.00,0.28,0.00
Total: Campañas, --, --, --, --,PEN, --,, --, --,"33,356",4.41%,479.15, --,"1,470",0.00%,0.00,0.33,0.00
Total: Cuenta,,,,,PEN,,,,,"33,356",4.41%,479.15,,"1,470",0.00%,0.00,0.33,0.00
Total: Búsqueda,,,,,PEN,,,,Búsqueda,"33,356",4.41%,479.15,,"1,470",0.00%,0.00,0.33,0.00
