Informe de ingreso familiar
Todo el período
Estado de los datos demográficos,Ingreso familiar,Campaña,Grupo de anuncios,Estado,Ajuste de oferta,Clics,Impr.,CTR,Código de moneda,Prom. CPC,Costo,Porcentaje de conv.,Conversiones,Costo/conv.
Habilitado,50 % inferior,Organnical — Ansiedad — Búsqueda,Grupo de anuncios 1,Apto, --,0,14,0.00%,PEN,0,0.00,0.00%,0.00,0.00
Habilitado,Desconocido,Organnical — Ansiedad — Búsqueda,Grupo de anuncios 1,Apto, --,753,"17,580",4.28%,PEN,0.30,224.67,0.27%,2.00,112.33
Habilitado,10 % más alto,Organnical — Ansiedad — Búsqueda,Grupo de anuncios 1,Apto, --,0,3,0.00%,PEN,0,0.00,0.00%,0.00,0.00
Habilitado,21 % a 30 %,Organnical — Ansiedad — Búsqueda,Grupo de anuncios 1,Apto, --,0,1,0.00%,PEN,0,0.00,0.00%,0.00,0.00
Habilitado,11 % a 20 %,Organnical — Ansiedad — Búsqueda,Grupo de anuncios 1,Apto, --,0,2,0.00%,PEN,0,0.00,0.00%,0.00,0.00
Habilitado,31 % a 40 %,Organnical — Ansiedad — Búsqueda,Grupo de anuncios 1,Apto, --,0,3,0.00%,PEN,0,0.00,0.00%,0.00,0.00
Habilitado,41 % a 50 %,Organnical — Ansiedad — Búsqueda,Grupo de anuncios 1,Apto, --,0,0, --,PEN,0,0.00,0.00%,0.00,0.00
Habilitado,31 % a 40 %,Organnical — Dolor Crónico — Búsqueda,Grupo de anuncios 1,Campaña detenida, --,0,2,0.00%,PEN,0,0.00,0.00%,0.00,0.00
Habilitado,50 % inferior,Organnical — Dolor Crónico — Búsqueda,Grupo de anuncios 1,Campaña detenida, --,0,16,0.00%,PEN,0,0.00,0.00%,0.00,0.00
Habilitado,Desconocido,Organnical — Dolor Crónico — Búsqueda,Grupo de anuncios 1,Campaña detenida, --,341,"9,419",3.62%,PEN,0.50,170.34,0.00%,0.00,0.00
Habilitado,41 % a 50 %,Organnical — Dolor Crónico — Búsqueda,Grupo de anuncios 1,Campaña detenida, --,0,1,0.00%,PEN,0,0.00,0.00%,0.00,0.00
Habilitado,21 % a 30 %,Organnical — Dolor Crónico — Búsqueda,Grupo de anuncios 1,Campaña detenida, --,0,2,0.00%,PEN,0,0.00,0.00%,0.00,0.00
Habilitado,10 % más alto,Organnical — Dolor Crónico — Búsqueda,Grupo de anuncios 1,Campaña detenida, --,0,5,0.00%,PEN,0,0.00,0.00%,0.00,0.00
Habilitado,11 % a 20 %,Organnical — Dolor Crónico — Búsqueda,Grupo de anuncios 1,Campaña detenida, --,0,2,0.00%,PEN,0,0.00,0.00%,0.00,0.00
Habilitado,21 % a 30 %,Organnical — Insomnio — Búsqueda,Grupo de anuncios 1,Apto, --,1,8,12.50%,PEN,0.85,0.85,0.00%,0.00,0.00
Habilitado,10 % más alto,Organnical — Insomnio — Búsqueda,Grupo de anuncios 1,Apto, --,0,0, --,PEN,0,0.00,0.00%,0.00,0.00
Habilitado,Desconocido,Organnical — Insomnio — Búsqueda,Grupo de anuncios 1,Apto, --,847,"16,322",5.19%,PEN,0.32,274.56,0.24%,2.00,137.28
Habilitado,50 % inferior,Organnical — Insomnio — Búsqueda,Grupo de anuncios 1,Apto, --,1,10,10.00%,PEN,0.23,0.23,0.00%,0.00,0.00
Habilitado,31 % a 40 %,Organnical — Insomnio — Búsqueda,Grupo de anuncios 1,Apto, --,1,4,25.00%,PEN,0.28,0.28,0.00%,0.00,0.00
Habilitado,41 % a 50 %,Organnical — Insomnio — Búsqueda,Grupo de anuncios 1,Apto, --,0,0, --,PEN,0,0.00,0.00%,0.00,0.00
Habilitado,11 % a 20 %,Organnical — Insomnio — Búsqueda,Grupo de anuncios 1,Apto, --,0,0, --,PEN,0,0.00,0.00%,0.00,0.00
Total: Ingresos familiares,,,,,,"1,944","43,394",4.48%,PEN,0.35,670.92,0.21%,4.00,167.73
Total: Cuenta,,,,,,"1,944","43,394",4.48%,PEN,0.35,670.92,0.21%,4.00,167.73
Total: Búsqueda,,,,,,"1,944","43,394",4.48%,PEN,0.35,670.92,0.21%,4.00,167.73
