Informe por género
Todo el período
Estado de los datos demográficos,Género,Campaña,Grupo de anuncios,Estado,Ajuste de oferta,Clics,Impr.,CTR,Código de moneda,Prom. CPC,Costo,Porcentaje de conv.,Conversiones,Costo/conv.
Habilitado,Desconocido,Organnical — Dolor Crónico — Búsqueda,Grupo de anuncios 1,Campaña detenida, --,134,"2,056",6.52%,PEN,0.36,48.54,0.00%,0.00,0.00
Habilitado,Mujer,Organnical — Dolor Crónico — Búsqueda,Grupo de anuncios 1,Campaña detenida, --,115,"3,906",2.94%,PEN,0.55,63.46,0.00%,0.00,0.00
Habilitado,Hombre,Organnical — Dolor Crónico — Búsqueda,Grupo de anuncios 1,Campaña detenida, --,92,"3,485",2.64%,PEN,0.63,58.34,0.00%,0.00,0.00
Habilitado,Mujer,Organnical — Ansiedad — Búsqueda,Grupo de anuncios 1,Apto, --,248,"6,335",3.91%,PEN,0.34,83.49,0.00%,0.00,0.00
Habilitado,Hombre,Organnical — Ansiedad — Búsqueda,Grupo de anuncios 1,Apto, --,186,"4,598",4.05%,PEN,0.38,70.90,0.00%,0.00,0.00
Habilitado,Desconocido,Organnical — Ansiedad — Búsqueda,Grupo de anuncios 1,Apto, --,319,"6,670",4.78%,PEN,0.22,70.27,0.63%,2.00,35.14
Habilitado,Desconocido,Organnical — Insomnio — Búsqueda,Grupo de anuncios 1,Apto, --,435,"7,756",5.61%,PEN,0.24,106.42,0.00%,0.00,0.00
Habilitado,Mujer,Organnical — Insomnio — Búsqueda,Grupo de anuncios 1,Apto, --,224,"4,631",4.84%,PEN,0.36,79.99,0.00%,0.00,0.00
Habilitado,Hombre,Organnical — Insomnio — Búsqueda,Grupo de anuncios 1,Apto, --,191,"3,957",4.83%,PEN,0.47,89.51,1.05%,2.00,44.75
Total: Género,,,,,,"1,944","43,394",4.48%,PEN,0.35,670.92,0.21%,4.00,167.73
Total: Cuenta,,,,,,"1,944","43,394",4.48%,PEN,0.35,670.92,0.21%,4.00,167.73
Total: Búsqueda,,,,,,"1,944","43,394",4.48%,PEN,0.35,670.92,0.21%,4.00,167.73
