Informe de programación de anuncios por día y hora
Todo el período
Día de la semana,Hora del día,Campaña,Clics,Impr.,CTR,Código de moneda,Prom. CPC,Costo,Porcentaje de conv.,Conversiones,Costo/conv.
Miércoles,21,Organnical — Ansiedad — Búsqueda,8,80,10.00%,PEN,0.26,2.04,0.00%,0.00,0.00
Miércoles,4,Organnical — Insomnio — Búsqueda,7,90,7.78%,PEN,0.18,1.29,0.00%,0.00,0.00
Miércoles,23,Organnical — Dolor Crónico — Búsqueda,0,75,0.00%,PEN,0,0.00,0.00%,0.00,0.00
Jueves,5,Organnical — Dolor Crónico — Búsqueda,1,61,1.64%,PEN,0.42,0.42,0.00%,0.00,0.00
Lunes,19,Organnical — Insomnio — Búsqueda,3,67,4.48%,PEN,0.54,1.63,0.00%,0.00,0.00
Miércoles,15,Organnical — Ansiedad — Búsqueda,3,124,2.42%,PEN,0.22,0.67,0.00%,0.00,0.00
Martes,12,Organnical — Dolor Crónico — Búsqueda,0,69,0.00%,PEN,0,0.00,0.00%,0.00,0.00
Miércoles,11,Organnical — Dolor Crónico — Búsqueda,2,50,4.00%,PEN,0.68,1.35,0.00%,0.00,0.00
Martes,1,Organnical — Insomnio — Búsqueda,7,164,4.27%,PEN,0.48,3.33,0.00%,0.00,0.00
Miércoles,0,Organnical — Dolor Crónico — Búsqueda,4,27,14.81%,PEN,0.48,1.93,0.00%,0.00,0.00
Jueves,23,Organnical — Insomnio — Búsqueda,6,140,4.29%,PEN,0.21,1.28,0.00%,0.00,0.00
Sábado,1,Organnical — Ansiedad — Búsqueda,4,59,6.78%,PEN,0.38,1.51,0.00%,0.00,0.00
Miércoles,10,Organnical — Dolor Crónico — Búsqueda,2,56,3.57%,PEN,0.71,1.42,0.00%,0.00,0.00
Viernes,21,Organnical — Ansiedad — Búsqueda,6,97,6.19%,PEN,0.24,1.43,0.00%,0.00,0.00
Domingo,9,Organnical — Ansiedad — Búsqueda,4,141,2.84%,PEN,0.25,1.00,0.00%,0.00,0.00
Miércoles,1,Organnical — Insomnio — Búsqueda,6,158,3.80%,PEN,0.28,1.66,0.00%,0.00,0.00
Sábado,14,Organnical — Ansiedad — Búsqueda,5,121,4.13%,PEN,0.27,1.35,0.00%,0.00,0.00
Jueves,6,Organnical — Insomnio — Búsqueda,2,94,2.13%,PEN,0.13,0.26,0.00%,0.00,0.00
Sábado,11,Organnical — Ansiedad — Búsqueda,6,118,5.08%,PEN,0.24,1.42,0.00%,0.00,0.00
Martes,6,Organnical — Ansiedad — Búsqueda,4,91,4.40%,PEN,0.30,1.19,0.00%,0.00,0.00
Miércoles,9,Organnical — Insomnio — Búsqueda,3,49,6.12%,PEN,0.18,0.54,0.00%,0.00,0.00
Martes,15,Organnical — Dolor Crónico — Búsqueda,2,43,4.65%,PEN,0.19,0.37,0.00%,0.00,0.00
Martes,7,Organnical — Dolor Crónico — Búsqueda,2,52,3.85%,PEN,0.51,1.02,0.00%,0.00,0.00
Jueves,18,Organnical — Insomnio — Búsqueda,1,65,1.54%,PEN,0.24,0.24,0.00%,0.00,0.00
Jueves,14,Organnical — Insomnio — Búsqueda,7,79,8.86%,PEN,0.25,1.73,0.00%,0.00,0.00
Viernes,5,Organnical — Dolor Crónico — Búsqueda,1,36,2.78%,PEN,0.37,0.37,0.00%,0.00,0.00
Jueves,2,Organnical — Ansiedad — Búsqueda,0,32,0.00%,PEN,0,0.00,0.00%,0.00,0.00
Domingo,3,Organnical — Dolor Crónico — Búsqueda,4,26,15.38%,PEN,0.23,0.92,0.00%,0.00,0.00
Lunes,4,Organnical — Ansiedad — Búsqueda,2,44,4.55%,PEN,0.40,0.79,0.00%,0.00,0.00
