Informe de programación de anuncios por día y hora
Todo el período
Día de la semana,Hora del día,Campaña,Clics,Impr.,CTR,Código de moneda,Prom. CPC,Costo,Porcentaje de conv.,Conversiones,Costo/conv.
Sábado,15,Organnical — Dolor Crónico — Búsqueda,2,68,2.94%,PEN,0.30,0.59,0.00%,0.00,0.00
Martes,14,Organnical — Ansiedad — Búsqueda,5,90,5.56%,PEN,0.22,1.12,0.00%,0.00,0.00
Miércoles,8,Organnical — Insomnio — Búsqueda,8,42,19.05%,PEN,0.24,1.92,0.00%,0.00,0.00
Martes,4,Organnical — Dolor Crónico — Búsqueda,1,20,5.00%,PEN,0.82,0.82,0.00%,0.00,0.00
Domingo,20,Organnical — Ansiedad — Búsqueda,6,163,3.68%,PEN,0.26,1.57,0.00%,0.00,0.00
Viernes,1,Organnical — Dolor Crónico — Búsqueda,1,19,5.26%,PEN,1.66,1.66,0.00%,0.00,0.00
Miércoles,12,Organnical — Ansiedad — Búsqueda,2,108,1.85%,PEN,0.31,0.61,0.00%,0.00,0.00
Viernes,3,Organnical — Dolor Crónico — Búsqueda,1,22,4.55%,PEN,0.31,0.31,0.00%,0.00,0.00
Sábado,8,Organnical — Dolor Crónico — Búsqueda,5,77,6.49%,PEN,0.63,3.13,0.00%,0.00,0.00
Jueves,5,Organnical — Insomnio — Búsqueda,4,82,4.88%,PEN,0.18,0.73,0.00%,0.00,0.00
Viernes,23,Organnical — Insomnio — Búsqueda,2,83,2.41%,PEN,0.22,0.44,0.00%,0.00,0.00
Domingo,18,Organnical — Ansiedad — Búsqueda,2,127,1.57%,PEN,0.21,0.42,0.00%,0.00,0.00
Viernes,10,Organnical — Ansiedad — Búsqueda,5,205,2.44%,PEN,0.23,1.15,0.00%,0.00,0.00
Viernes,14,Organnical — Ansiedad — Búsqueda,2,132,1.52%,PEN,0.18,0.36,0.00%,0.00,0.00
Viernes,8,Organnical — Ansiedad — Búsqueda,7,174,4.02%,PEN,0.35,2.47,0.00%,0.00,0.00
Miércoles,16,Organnical — Dolor Crónico — Búsqueda,2,61,3.28%,PEN,0.29,0.58,0.00%,0.00,0.00
Viernes,8,Organnical — Insomnio — Búsqueda,5,81,6.17%,PEN,0.49,2.45,0.00%,0.00,0.00
Jueves,15,Organnical — Dolor Crónico — Búsqueda,5,95,5.26%,PEN,0.38,1.89,0.00%,0.00,0.00
Sábado,18,Organnical — Insomnio — Búsqueda,4,61,6.56%,PEN,0.38,1.53,0.00%,0.00,0.00
Viernes,0,Organnical — Insomnio — Búsqueda,7,197,3.55%,PEN,0.44,3.10,0.00%,0.00,0.00
Jueves,0,Organnical — Dolor Crónico — Búsqueda,3,47,6.38%,PEN,0.22,0.67,0.00%,0.00,0.00
Domingo,9,Organnical — Insomnio — Búsqueda,3,76,3.95%,PEN,0.48,1.45,0.00%,0.00,0.00
Jueves,22,Organnical — Dolor Crónico — Búsqueda,2,44,4.55%,PEN,0.20,0.39,0.00%,0.00,0.00
Sábado,8,Organnical — Insomnio — Búsqueda,4,72,5.56%,PEN,0.34,1.37,0.00%,0.00,0.00
Martes,3,Organnical — Dolor Crónico — Búsqueda,2,19,10.53%,PEN,0.42,0.84,0.00%,0.00,0.00
Lunes,15,Organnical — Dolor Crónico — Búsqueda,5,47,10.64%,PEN,0.53,2.63,0.00%,0.00,0.00
Domingo,12,Organnical — Insomnio — Búsqueda,3,108,2.78%,PEN,0.41,1.22,0.00%,0.00,0.00
Jueves,11,Organnical — Insomnio — Búsqueda,5,80,6.25%,PEN,0.52,2.58,0.00%,0.00,0.00
Domingo,15,Organnical — Dolor Crónico — Búsqueda,1,66,1.52%,PEN,0.30,0.30,0.00%,0.00,0.00
Viernes,20,Organnical — Ansiedad — Búsqueda,11,135,8.15%,PEN,0.32,3.52,0.00%,0.00,0.00
Domingo,5,Organnical — Ansiedad — Búsqueda,6,70,8.57%,PEN,0.26,1.54,0.00%,0.00,0.00
Sábado,0,Organnical — Dolor Crónico — Búsqueda,4,41,9.76%,PEN,0.29,1.17,0.00%,0.00,0.00
Viernes,3,Organnical — Insomnio — Búsqueda,10,114,8.77%,PEN,0.26,2.61,0.00%,0.00,0.00
Domingo,9,Organnical — Dolor Crónico — Búsqueda,2,75,2.67%,PEN,0.28,0.56,0.00%,0.00,0.00
Martes,12,Organnical — Ansiedad — Búsqueda,7,129,5.43%,PEN,0.35,2.46,0.00%,0.00,0.00
Sábado,23,Organnical — Insomnio — Búsqueda,8,124,6.45%,PEN,0.17,1.35,0.00%,0.00,0.00
Miércoles,11,Organnical — Ansiedad — Búsqueda,0,114,0.00%,PEN,0,0.00,0.00%,0.00,0.00
Viernes,16,Organnical — Ansiedad — Búsqueda,2,131,1.53%,PEN,0.37,0.73,0.00%,0.00,0.00
Domingo,16,Organnical — Dolor Crónico — Búsqueda,6,75,8.00%,PEN,0.36,2.16,0.00%,0.00,0.00
Martes,23,Organnical — Insomnio — Búsqueda,1,27,3.70%,PEN,0.83,0.83,0.00%,0.00,0.00
Lunes,5,Organnical — Ansiedad — Búsqueda,4,87,4.60%,PEN,0.19,0.76,0.00%,0.00,0.00
Viernes,2,Organnical — Dolor Crónico — Búsqueda,0,16,0.00%,PEN,0,0.00,0.00%,0.00,0.00
Domingo,1,Organnical — Insomnio — Búsqueda,6,203,2.96%,PEN,0.33,1.96,0.00%,0.00,0.00
Jueves,12,Organnical — Dolor Crónico — Búsqueda,2,80,2.50%,PEN,0.63,1.25,0.00%,0.00,0.00
Lunes,14,Organnical — Dolor Crónico — Búsqueda,4,54,7.41%,PEN,0.50,1.98,0.00%,0.00,0.00
Miércoles,20,Organnical — Dolor Crónico — Búsqueda,3,114,2.63%,PEN,0.86,2.59,0.00%,0.00,0.00
Jueves,18,Organnical — Ansiedad — Búsqueda,4,132,3.03%,PEN,0.19,0.77,0.00%,0.00,0.00
Lunes,18,Organnical — Dolor Crónico — Búsqueda,0,70,0.00%,PEN,0,0.00,0.00%,0.00,0.00
Sábado,7,Organnical — Dolor Crónico — Búsqueda,5,99,5.05%,PEN,0.64,3.22,0.00%,0.00,0.00
Domingo,4,Organnical — Dolor Crónico — Búsqueda,0,34,0.00%,PEN,0,0.00,0.00%,0.00,0.00
Martes,15,Organnical — Ansiedad — Búsqueda,2,79,2.53%,PEN,0.34,0.68,0.00%,0.00,0.00
Viernes,13,Organnical — Dolor Crónico — Búsqueda,0,62,0.00%,PEN,0,0.00,0.00%,0.00,0.00
Viernes,22,Organnical — Ansiedad — Búsqueda,4,62,6.45%,PEN,0.22,0.86,0.00%,0.00,0.00
Jueves,1,Organnical — Ansiedad — Búsqueda,2,44,4.55%,PEN,0.32,0.64,0.00%,0.00,0.00
Miércoles,0,Organnical — Insomnio — Búsqueda,9,168,5.36%,PEN,0.31,2.83,0.00%,0.00,0.00
Jueves,22,Organnical — Ansiedad — Búsqueda,3,98,3.06%,PEN,0.34,1.01,0.00%,0.00,0.00
Domingo,22,Organnical — Dolor Crónico — Búsqueda,1,17,5.88%,PEN,1.01,1.01,0.00%,0.00,0.00
Sábado,13,Organnical — Dolor Crónico — Búsqueda,1,48,2.08%,PEN,0.48,0.48,0.00%,0.00,0.00
Miércoles,17,Organnical — Dolor Crónico — Búsqueda,3,50,6.00%,PEN,0.50,1.51,0.00%,0.00,0.00
Martes,8,Organnical — Dolor Crónico — Búsqueda,1,55,1.82%,PEN,0.46,0.46,0.00%,0.00,0.00
Sábado,1,Organnical — Insomnio — Búsqueda,12,185,6.49%,PEN,0.25,2.95,0.00%,0.00,0.00
Domingo,17,Organnical — Dolor Crónico — Búsqueda,4,62,6.45%,PEN,0.44,1.74,0.00%,0.00,0.00
Domingo,6,Organnical — Insomnio — Búsqueda,2,96,2.08%,PEN,0.15,0.29,0.00%,0.00,0.00
Martes,14,Organnical — Dolor Crónico — Búsqueda,2,60,3.33%,PEN,0.33,0.66,0.00%,0.00,0.00
Miércoles,12,Organnical — Dolor Crónico — Búsqueda,1,59,1.69%,PEN,0.49,0.49,0.00%,0.00,0.00
Lunes,20,Organnical — Insomnio — Búsqueda,4,65,6.15%,PEN,0.59,2.37,0.00%,0.00,0.00
Domingo,8,Organnical — Insomnio — Búsqueda,6,73,8.22%,PEN,0.26,1.54,0.00%,0.00,0.00
Jueves,16,Organnical — Dolor Crónico — Búsqueda,3,85,3.53%,PEN,0.42,1.25,0.00%,0.00,0.00
Viernes,19,Organnical — Dolor Crónico — Búsqueda,3,72,4.17%,PEN,0.35,1.05,0.00%,0.00,0.00
Domingo,17,Organnical — Ansiedad — Búsqueda,6,149,4.03%,PEN,0.33,1.97,0.00%,0.00,0.00
Sábado,0,Organnical — Insomnio — Búsqueda,9,186,4.84%,PEN,0.37,3.29,0.00%,0.00,0.00
Martes,13,Organnical — Ansiedad — Búsqueda,6,108,5.56%,PEN,0.23,1.35,0.00%,0.00,0.00
Miércoles,4,Organnical — Dolor Crónico — Búsqueda,2,26,7.69%,PEN,0.89,1.78,0.00%,0.00,0.00
Jueves,9,Organnical — Dolor Crónico — Búsqueda,1,85,1.18%,PEN,1.90,1.90,0.00%,0.00,0.00
Viernes,10,Organnical — Dolor Crónico — Búsqueda,1,76,1.32%,PEN,0.44,0.44,0.00%,0.00,0.00
Martes,1,Organnical — Dolor Crónico — Búsqueda,0,31,0.00%,PEN,0,0.00,0.00%,0.00,0.00
Miércoles,5,Organnical — Dolor Crónico — Búsqueda,1,31,3.23%,PEN,0.83,0.83,0.00%,0.00,0.00
Miércoles,13,Organnical — Dolor Crónico — Búsqueda,0,43,0.00%,PEN,0,0.00,0.00%,0.00,0.00
Lunes,9,Organnical — Ansiedad — Búsqueda,3,158,1.90%,PEN,0.20,0.61,0.00%,0.00,0.00
Jueves,22,Organnical — Insomnio — Búsqueda,3,116,2.59%,PEN,0.18,0.53,0.00%,0.00,0.00
Miércoles,4,Organnical — Ansiedad — Búsqueda,4,46,8.70%,PEN,0.17,0.68,0.00%,0.00,0.00
Sábado,5,Organnical — Dolor Crónico — Búsqueda,1,44,2.27%,PEN,0.29,0.29,0.00%,0.00,0.00
Sábado,12,Organnical — Ansiedad — Búsqueda,4,124,3.23%,PEN,0.23,0.92,0.00%,0.00,0.00
Jueves,15,Organnical — Ansiedad — Búsqueda,4,129,3.10%,PEN,0.26,1.04,0.00%,0.00,0.00
Martes,11,Organnical — Ansiedad — Búsqueda,3,107,2.80%,PEN,0.52,1.55,0.00%,0.00,0.00
Jueves,3,Organnical — Dolor Crónico — Búsqueda,3,25,12.00%,PEN,0.90,2.71,0.00%,0.00,0.00
Miércoles,18,Organnical — Ansiedad — Búsqueda,12,169,7.10%,PEN,0.39,4.66,0.00%,0.00,0.00
Domingo,20,Organnical — Dolor Crónico — Búsqueda,2,32,6.25%,PEN,0.42,0.84,0.00%,0.00,0.00
Viernes,0,Organnical — Ansiedad — Búsqueda,2,91,2.20%,PEN,0.24,0.48,0.00%,0.00,0.00
Jueves,21,Organnical — Dolor Crónico — Búsqueda,3,45,6.67%,PEN,0.29,0.86,0.00%,0.00,0.00
Sábado,16,Organnical — Dolor Crónico — Búsqueda,1,77,1.30%,PEN,1.21,1.21,0.00%,0.00,0.00
Jueves,20,Organnical — Ansiedad — Búsqueda,4,153,2.61%,PEN,0.32,1.26,0.00%,0.00,0.00
Viernes,23,Organnical — Dolor Crónico — Búsqueda,3,34,8.82%,PEN,0.72,2.17,0.00%,0.00,0.00
Lunes,11,Organnical — Insomnio — Búsqueda,2,68,2.94%,PEN,0.44,0.88,0.00%,0.00,0.00
Lunes,18,Organnical — Ansiedad — Búsqueda,1,91,1.10%,PEN,0.24,0.24,0.00%,0.00,0.00
Jueves,19,Organnical — Insomnio — Búsqueda,4,72,5.56%,PEN,0.23,0.92,0.00%,0.00,0.00
Miércoles,10,Organnical — Insomnio — Búsqueda,3,38,7.89%,PEN,0.63,1.90,0.00%,0.00,0.00
Lunes,2,Organnical — Dolor Crónico — Búsqueda,2,18,11.11%,PEN,0.20,0.39,0.00%,0.00,0.00
Sábado,4,Organnical — Insomnio — Búsqueda,6,87,6.90%,PEN,0.28,1.69,0.00%,0.00,0.00
Sábado,13,Organnical — Ansiedad — Búsqueda,4,125,3.20%,PEN,0.30,1.19,0.00%,0.00,0.00
Miércoles,9,Organnical — Ansiedad — Búsqueda,3,113,2.65%,PEN,0.43,1.29,0.00%,0.00,0.00
Lunes,23,Organnical — Ansiedad — Búsqueda,2,44,4.55%,PEN,0.23,0.45,0.00%,0.00,0.00
Viernes,4,Organnical — Dolor Crónico — Búsqueda,1,16,6.25%,PEN,0.15,0.15,0.00%,0.00,0.00
Viernes,20,Organnical — Dolor Crónico — Búsqueda,7,74,9.46%,PEN,0.51,3.55,0.00%,0.00,0.00
Sábado,19,Organnical — Ansiedad — Búsqueda,7,193,3.63%,PEN,0.50,3.50,0.00%,0.00,0.00
Lunes,12,Organnical — Ansiedad — Búsqueda,5,103,4.85%,PEN,0.23,1.14,0.00%,0.00,0.00
Sábado,3,Organnical — Dolor Crónico — Búsqueda,1,25,4.00%,PEN,0.35,0.35,0.00%,0.00,0.00
Miércoles,1,Organnical — Ansiedad — Búsqueda,2,49,4.08%,PEN,0.51,1.01,0.00%,0.00,0.00
Martes,8,Organnical — Insomnio — Búsqueda,4,76,5.26%,PEN,0.22,0.87,0.00%,0.00,0.00
Jueves,7,Organnical — Insomnio — Búsqueda,13,82,15.85%,PEN,0.38,4.97,0.00%,0.00,0.00
Miércoles,2,Organnical — Ansiedad — Búsqueda,3,30,10.00%,PEN,0.22,0.66,0.00%,0.00,0.00
Lunes,1,Organnical — Insomnio — Búsqueda,16,234,6.84%,PEN,0.34,5.39,0.00%,0.00,0.00
Domingo,15,Organnical — Ansiedad — Búsqueda,6,122,4.92%,PEN,0.33,1.95,0.00%,0.00,0.00
Lunes,21,Organnical — Ansiedad — Búsqueda,5,131,3.82%,PEN,0.28,1.42,0.00%,0.00,0.00
Domingo,19,Organnical — Insomnio — Búsqueda,2,89,2.25%,PEN,0.88,1.75,0.00%,0.00,0.00
Domingo,20,Organnical — Insomnio — Búsqueda,4,118,3.39%,PEN,0.26,1.05,0.00%,0.00,0.00
Martes,0,Organnical — Ansiedad — Búsqueda,5,78,6.41%,PEN,0.33,1.67,0.00%,0.00,0.00
Lunes,1,Organnical — Ansiedad — Búsqueda,1,56,1.79%,PEN,0.18,0.18,0.00%,0.00,0.00
Viernes,14,Organnical — Insomnio — Búsqueda,0,58,0.00%,PEN,0,0.00,0.00%,0.00,0.00
Domingo,7,Organnical — Insomnio — Búsqueda,9,100,9.00%,PEN,0.33,2.96,0.00%,0.00,0.00
Martes,22,Organnical — Dolor Crónico — Búsqueda,1,80,1.25%,PEN,0.74,0.74,0.00%,0.00,0.00
Miércoles,1,Organnical — Dolor Crónico — Búsqueda,1,15,6.67%,PEN,0.40,0.40,0.00%,0.00,0.00
Martes,20,Organnical — Insomnio — Búsqueda,1,69,1.45%,PEN,0.28,0.28,0.00%,0.00,0.00
Sábado,8,Organnical — Ansiedad — Búsqueda,4,125,3.20%,PEN,0.20,0.79,0.00%,0.00,0.00
Miércoles,15,Organnical — Insomnio — Búsqueda,1,66,1.52%,PEN,0.25,0.25,0.00%,0.00,0.00
Jueves,11,Organnical — Ansiedad — Búsqueda,6,135,4.44%,PEN,0.27,1.59,0.00%,0.00,0.00
Sábado,21,Organnical — Ansiedad — Búsqueda,4,129,3.10%,PEN,0.30,1.20,0.00%,0.00,0.00
Sábado,11,Organnical — Insomnio — Búsqueda,8,63,12.70%,PEN,0.30,2.43,0.00%,0.00,0.00
Domingo,21,Organnical — Dolor Crónico — Búsqueda,1,34,2.94%,PEN,0.20,0.20,0.00%,0.00,0.00
Miércoles,7,Organnical — Insomnio — Búsqueda,8,77,10.39%,PEN,0.60,4.82,0.00%,0.00,0.00
Miércoles,14,Organnical — Dolor Crónico — Búsqueda,3,62,4.84%,PEN,0.37,1.11,0.00%,0.00,0.00
Domingo,4,Organnical — Ansiedad — Búsqueda,3,30,10.00%,PEN,0.22,0.67,0.00%,0.00,0.00
Sábado,17,Organnical — Dolor Crónico — Búsqueda,3,48,6.25%,PEN,0.58,1.75,0.00%,0.00,0.00
Martes,22,Organnical — Insomnio — Búsqueda,2,35,5.71%,PEN,0.61,1.22,0.00%,0.00,0.00
Miércoles,0,Organnical — Ansiedad — Búsqueda,3,81,3.70%,PEN,0.24,0.71,0.00%,0.00,0.00
Domingo,14,Organnical — Insomnio — Búsqueda,0,105,0.00%,PEN,0,0.00,0.00%,0.00,0.00
Viernes,19,Organnical — Insomnio — Búsqueda,5,74,6.76%,PEN,0.27,1.36,0.00%,0.00,0.00
Domingo,6,Organnical — Dolor Crónico — Búsqueda,2,65,3.08%,PEN,0.44,0.88,0.00%,0.00,0.00
Domingo,21,Organnical — Insomnio — Búsqueda,13,164,7.93%,PEN,0.39,5.05,0.00%,0.00,0.00
Sábado,7,Organnical — Insomnio — Búsqueda,2,88,2.27%,PEN,0.50,0.99,0.00%,0.00,0.00
Lunes,2,Organnical — Insomnio — Búsqueda,11,193,5.70%,PEN,0.25,2.72,0.00%,0.00,0.00
Domingo,7,Organnical — Ansiedad — Búsqueda,7,119,5.88%,PEN,0.35,2.44,0.00%,0.00,0.00
Lunes,10,Organnical — Dolor Crónico — Búsqueda,0,49,0.00%,PEN,0,0.00,0.00%,0.00,0.00
Viernes,18,Organnical — Ansiedad — Búsqueda,8,137,5.84%,PEN,0.23,1.87,0.00%,0.00,0.00
Jueves,4,Organnical — Ansiedad — Búsqueda,0,46,0.00%,PEN,0,0.00,0.00%,0.00,0.00
Domingo,7,Organnical — Dolor Crónico — Búsqueda,3,87,3.45%,PEN,0.41,1.24,0.00%,0.00,0.00
Jueves,12,Organnical — Insomnio — Búsqueda,4,83,4.82%,PEN,0.28,1.12,0.00%,0.00,0.00
Martes,11,Organnical — Insomnio — Búsqueda,2,66,3.03%,PEN,0.15,0.30,0.00%,0.00,0.00
Jueves,17,Organnical — Insomnio — Búsqueda,6,81,7.41%,PEN,0.26,1.56,0.00%,0.00,0.00
Domingo,0,Organnical — Dolor Crónico — Búsqueda,2,53,3.77%,PEN,0.35,0.70,0.00%,0.00,0.00
Viernes,17,Organnical — Dolor Crónico — Búsqueda,2,58,3.45%,PEN,0.65,1.31,0.00%,0.00,0.00
Miércoles,6,Organnical — Dolor Crónico — Búsqueda,2,34,5.88%,PEN,0.24,0.48,0.00%,0.00,0.00
Lunes,9,Organnical — Insomnio — Búsqueda,8,91,8.79%,PEN,0.32,2.57,0.00%,0.00,0.00
Sábado,15,Organnical — Insomnio — Búsqueda,0,78,0.00%,PEN,0,0.00,0.00%,0.00,0.00
Lunes,22,Organnical — Ansiedad — Búsqueda,3,66,4.55%,PEN,0.49,1.46,0.00%,0.00,0.00
Lunes,7,Organnical — Insomnio — Búsqueda,6,130,4.62%,PEN,0.47,2.81,0.00%,0.00,0.00
Domingo,18,Organnical — Dolor Crónico — Búsqueda,6,68,8.82%,PEN,0.36,2.18,0.00%,0.00,0.00
Jueves,0,Organnical — Ansiedad — Búsqueda,2,70,2.86%,PEN,0.21,0.42,0.00%,0.00,0.00
Lunes,1,Organnical — Dolor Crónico — Búsqueda,1,6,16.67%,PEN,0.34,0.34,0.00%,0.00,0.00
Martes,14,Organnical — Insomnio — Búsqueda,5,93,5.38%,PEN,0.52,2.59,0.00%,0.00,0.00
Domingo,12,Organnical — Ansiedad — Búsqueda,3,118,2.54%,PEN,0.39,1.17,0.00%,0.00,0.00
Viernes,5,Organnical — Insomnio — Búsqueda,5,97,5.15%,PEN,0.26,1.29,0.00%,0.00,0.00
Martes,10,Organnical — Dolor Crónico — Búsqueda,1,66,1.52%,PEN,0.37,0.37,0.00%,0.00,0.00
Viernes,7,Organnical — Dolor Crónico — Búsqueda,2,83,2.41%,PEN,0.94,1.89,0.00%,0.00,0.00
Lunes,0,Organnical — Dolor Crónico — Búsqueda,2,25,8.00%,PEN,0.40,0.79,0.00%,0.00,0.00
Viernes,4,Organnical — Ansiedad — Búsqueda,3,42,7.14%,PEN,0.17,0.50,0.00%,0.00,0.00
Domingo,21,Organnical — Ansiedad — Búsqueda,6,92,6.52%,PEN,0.34,2.01,0.00%,0.00,0.00
Lunes,16,Organnical — Ansiedad — Búsqueda,7,94,7.45%,PEN,0.43,3.04,0.00%,0.00,0.00
Domingo,5,Organnical — Insomnio — Búsqueda,7,115,6.09%,PEN,0.34,2.36,0.00%,0.00,0.00
Domingo,14,Organnical — Ansiedad — Búsqueda,11,143,7.69%,PEN,0.17,1.87,0.00%,0.00,0.00
Viernes,23,Organnical — Ansiedad — Búsqueda,5,27,18.52%,PEN,0.28,1.39,0.00%,0.00,0.00
Sábado,14,Organnical — Dolor Crónico — Búsqueda,4,73,5.48%,PEN,0.32,1.28,0.00%,0.00,0.00
Martes,12,Organnical — Insomnio — Búsqueda,3,78,3.85%,PEN,0.63,1.90,0.00%,0.00,0.00
Jueves,4,Organnical — Insomnio — Búsqueda,9,87,10.34%,PEN,0.25,2.26,0.00%,0.00,0.00
Martes,16,Organnical — Ansiedad — Búsqueda,3,86,3.49%,PEN,0.21,0.62,0.00%,0.00,0.00
Jueves,15,Organnical — Insomnio — Búsqueda,5,70,7.14%,PEN,0.26,1.28,0.00%,0.00,0.00
Viernes,9,Organnical — Dolor Crónico — Búsqueda,5,100,5.00%,PEN,0.39,1.93,0.00%,0.00,0.00
Lunes,15,Organnical — Ansiedad — Búsqueda,5,109,4.59%,PEN,0.21,1.06,0.00%,0.00,0.00
Lunes,17,Organnical — Ansiedad — Búsqueda,1,87,1.15%,PEN,0.59,0.59,0.00%,0.00,0.00
Miércoles,22,Organnical — Insomnio — Búsqueda,9,185,4.86%,PEN,0.44,3.99,0.00%,0.00,0.00
Miércoles,20,Organnical — Ansiedad — Búsqueda,12,192,6.25%,PEN,0.50,6.00,0.00%,0.00,0.00
Miércoles,19,Organnical — Ansiedad — Búsqueda,7,165,4.24%,PEN,0.52,3.63,0.00%,0.00,0.00
Lunes,5,Organnical — Dolor Crónico — Búsqueda,0,27,0.00%,PEN,0,0.00,0.00%,0.00,0.00
Sábado,17,Organnical — Ansiedad — Búsqueda,7,154,4.55%,PEN,0.23,1.62,0.00%,0.00,0.00
Sábado,15,Organnical — Ansiedad — Búsqueda,7,131,5.34%,PEN,0.15,1.02,0.00%,0.00,0.00
Domingo,11,Organnical — Insomnio — Búsqueda,5,74,6.76%,PEN,0.55,2.74,0.00%,0.00,0.00
Sábado,22,Organnical — Insomnio — Búsqueda,2,103,1.94%,PEN,0.23,0.46,0.00%,0.00,0.00
Lunes,3,Organnical — Insomnio — Búsqueda,6,135,4.44%,PEN,0.38,2.25,0.00%,0.00,0.00
Jueves,20,Organnical — Insomnio — Búsqueda,3,82,3.66%,PEN,0.45,1.36,0.00%,0.00,0.00
Viernes,7,Organnical — Insomnio — Búsqueda,7,60,11.67%,PEN,0.29,2.00,0.00%,0.00,0.00
Domingo,12,Organnical — Dolor Crónico — Búsqueda,3,80,3.75%,PEN,0.31,0.93,0.00%,0.00,0.00
Sábado,6,Organnical — Ansiedad — Búsqueda,1,88,1.14%,PEN,0.17,0.17,0.00%,0.00,0.00
Viernes,6,Organnical — Insomnio — Búsqueda,3,66,4.55%,PEN,0.65,1.94,0.00%,0.00,0.00
Miércoles,15,Organnical — Dolor Crónico — Búsqueda,2,64,3.13%,PEN,0.28,0.55,0.00%,0.00,0.00
Sábado,4,Organnical — Dolor Crónico — Búsqueda,1,42,2.38%,PEN,0.44,0.44,0.00%,0.00,0.00
Domingo,10,Organnical — Dolor Crónico — Búsqueda,3,66,4.55%,PEN,0.62,1.87,0.00%,0.00,0.00
Lunes,11,Organnical — Dolor Crónico — Búsqueda,2,49,4.08%,PEN,0.37,0.74,0.00%,0.00,0.00
Martes,7,Organnical — Insomnio — Búsqueda,3,69,4.35%,PEN,0.29,0.86,0.00%,0.00,0.00
Martes,8,Organnical — Ansiedad — Búsqueda,7,105,6.67%,PEN,0.35,2.46,0.00%,0.00,0.00
