Informe de programación de anuncios por hora
Todo el período
Hora del día,Campaña,Clics,Impr.,CTR,Código de moneda,Prom. CPC,Costo,Porcentaje de conv.,Conversiones,Costo/conv.
15,Organnical — Ansiedad — Búsqueda,35,843,4.15%,PEN,0.23,8.11,0.00%,0.00,0.00
0,Organnical — Insomnio — Búsqueda,58,"1,355",4.28%,PEN,0.36,20.94,0.00%,0.00,0.00
3,Organnical — Ansiedad — Búsqueda,20,257,7.78%,PEN,0.27,5.31,0.00%,0.00,0.00
5,Organnical — Dolor Crónico — Búsqueda,12,293,4.10%,PEN,0.40,4.81,0.00%,0.00,0.00
8,Organnical — Dolor Crónico — Búsqueda,17,505,3.37%,PEN,0.58,9.79,0.00%,0.00,0.00
17,Organnical — Insomnio — Búsqueda,30,513,5.85%,PEN,0.26,7.92,0.00%,0.00,0.00
21,Organnical — Ansiedad — Búsqueda,41,771,5.32%,PEN,0.27,11.07,0.00%,0.00,0.00
11,Organnical — Dolor Crónico — Búsqueda,16,448,3.57%,PEN,0.54,8.57,0.00%,0.00,0.00
14,Organnical — Ansiedad — Búsqueda,43,855,5.03%,PEN,0.26,11.14,0.00%,0.00,0.00
2,Organnical — Dolor Crónico — Búsqueda,4,140,2.86%,PEN,0.22,0.86,0.00%,0.00,0.00
13,Organnical — Ansiedad — Búsqueda,29,800,3.63%,PEN,0.32,9.40,0.00%,0.00,0.00
1,Organnical — Ansiedad — Búsqueda,19,385,4.94%,PEN,0.37,7.00,0.00%,0.00,0.00
18,Organnical — Insomnio — Búsqueda,25,526,4.75%,PEN,0.30,7.54,0.00%,0.00,0.00
20,Organnical — Dolor Crónico — Búsqueda,22,529,4.16%,PEN,0.62,13.61,0.00%,0.00,0.00
3,Organnical — Dolor Crónico — Búsqueda,11,138,7.97%,PEN,0.47,5.13,0.00%,0.00,0.00
13,Organnical — Dolor Crónico — Búsqueda,14,447,3.13%,PEN,0.45,6.28,0.00%,0.00,0.00
7,Organnical — Ansiedad — Búsqueda,41,884,4.64%,PEN,0.30,12.50,0.00%,0.00,0.00
19,Organnical — Dolor Crónico — Búsqueda,14,567,2.47%,PEN,0.51,7.18,0.00%,0.00,0.00
23,Organnical — Insomnio — Búsqueda,25,727,3.44%,PEN,0.25,6.21,0.00%,0.00,0.00
12,Organnical — Insomnio — Búsqueda,23,526,4.37%,PEN,0.43,9.97,0.00%,0.00,0.00
5,Organnical — Ansiedad — Búsqueda,33,514,6.42%,PEN,0.23,7.63,0.00%,0.00,0.00
22,Organnical — Dolor Crónico — Búsqueda,10,381,2.62%,PEN,0.49,4.89,0.00%,0.00,0.00
0,Organnical — Ansiedad — Búsqueda,21,596,3.52%,PEN,0.26,5.51,0.00%,0.00,0.00
10,Organnical — Ansiedad — Búsqueda,43,"1,063",4.05%,PEN,0.26,11.11,0.00%,0.00,0.00
